LGD_Code,District_SSLR,Taluk_SSLR (Subdistrict),Hobli_SSLR,Village_SSLR,ULB_SSLR,District_GOI_Dir,Subdistrict_GOI_Dir,Village_GOI_Dir,VillageStatus_GOI_Dir,District_NIC,GramPanchayat_NIC,Village_NIC
597114,Belgaum District,NIPPANI,Nippani,Hadhanala,,BELAGAVI,NIPPANI,Hadnal,Inhabitant,BELAGAVI,APPACHIWADI,Hadnal
597115,Belgaum District,NIPPANI,Nippani,Sulagaov,,BELAGAVI,NIPPANI,Sulagaon,Inhabitant,BELAGAVI,APPACHIWADI,Sulagaon
597116,Belgaum District,NIPPANI,Nippani,Matthiwade,,BELAGAVI,NIPPANI,Mattiwade,Inhabitant,BELAGAVI,APPACHIWADI,Mattiwade
597117,Belgaum District,NIPPANI,Nippani,Bhatanaganura,,BELAGAVI,NIPPANI,Bhatnaganur,Inhabitant,BELAGAVI,KURLI,Bhatnaganur
597118,Belgaum District,NIPPANI,Nippani,Kurali+APPACHIVADI,,BELAGAVI,NIPPANI,Kurli,Inhabitant,BELAGAVI,KURLI,Kurli
597119,,,,,,BELAGAVI,Chikodi,Appachiwadi,Inhabitant,BELAGAVI,APPACHIWADI,Appachiwadi
597120,Belgaum District,NIPPANI,Nippani,Konganolli,,BELAGAVI,NIPPANI,Koganoli,Inhabitant,BELAGAVI,KOGANOLLI,Koganoli
597121,Belgaum District,NIPPANI,Nippani,Hanabarawadi(H)(NRV Village came in notification),,BELAGAVI,NIPPANI,Hanabarawadi,Inhabitant,BELAGAVI,KOGANOLLI,Hanabarawadi
597122,Belgaum District,NIPPANI,Nippani,Hanchinala.K.S,,BELAGAVI,NIPPANI,Hanchinal (K.S.),Inhabitant,BELAGAVI,ADI,Hanchinal (K.S.)
597123,Belgaum District,NIPPANI,Nippani,Bennadi,,BELAGAVI,NIPPANI,Benadi,Inhabitant,BELAGAVI,BENADI,Benadi
597124,Belgaum District,NIPPANI,Nippani,Bolewadi(H)(NRV Village came in notification),,BELAGAVI,NIPPANI,Bolewadi,Inhabitant,BELAGAVI,BENADI,Bolewadi
597125,Belgaum District,NIPPANI,Nippani,Akkola,,BELAGAVI,NIPPANI,Akkol,Inhabitant,BELAGAVI,AKKOL,Akkol
597126,Belgaum District,NIPPANI,Nippani,Padlihala,,BELAGAVI,NIPPANI,Padlihal,Inhabitant,BELAGAVI,LAKHANAPUR,Padlihal
597127,Belgaum District,NIPPANI,Nippani,Lakhanapura,ULB,BELAGAVI,NIPPANI,Lakhanapur,Inhabitant,BELAGAVI,LAKHANAPUR,Lakhanapur
597128,Belgaum District,NIPPANI,Nippani,Jathrata,ULB,BELAGAVI,NIPPANI,Jatrat,Inhabitant,BELAGAVI,JATHRAT,Jatrat
597129,Belgaum District,NIPPANI,Nippani,Adi,,BELAGAVI,NIPPANI,Adi,Inhabitant,BELAGAVI,ADI,Adi
597130,Belgaum District,NIPPANI,Nippani,Bheevasi,,BELAGAVI,NIPPANI,Bhivashi,Inhabitant,BELAGAVI,SOUNDALGA,Bhivashi
597131,Belgaum District,NIPPANI,Nippani,Naganura,,BELAGAVI,NIPPANI,Naganur,Inhabitant,BELAGAVI,YAMAGARANI,Naganur
597132,Belgaum District,NIPPANI,Nippani,Yamagarni,ULB,BELAGAVI,NIPPANI,Yamagarni,Inhabitant,BELAGAVI,YAMAGARANI,Yamagarni
597133,Belgaum District,NIPPANI,Nippani,Sendhalaga,,BELAGAVI,NIPPANI,Soundalga,Inhabitant,BELAGAVI,SOUNDALGA,Soundalga
597134,Belgaum District,NIPPANI,Nippani,Boodhihala,,BELAGAVI,NIPPANI,Budihal,Inhabitant,BELAGAVI,YAMAGARANI,Budihal
597135,Belgaum District,NIPPANI,Nippani,Kodani,ULB,BELAGAVI,NIPPANI,Kodni,Inhabitant,BELAGAVI,KODANI,Kodni
597136,Belgaum District,NIPPANI,Nippani,Gayakanawadi(H)(NRV Village came in notification),,BELAGAVI,NIPPANI,Gayakanawadi,Inhabitant,BELAGAVI,KODANI,Gayakanawadi
597137,Belgaum District,NIPPANI,Nippani,Shiraguppi,,BELAGAVI,NIPPANI,Shirguppi,Inhabitant,BELAGAVI,SHIRAGUPPI,Shirguppi
597138,Belgaum District,NIPPANI,Nippani,Pangeri.B,,BELAGAVI,NIPPANI,Pangeri (B),Inhabitant,BELAGAVI,SHIRAGUPPI,Pangeri (B)
597139,Belgaum District,NIPPANI,Nippani,Budhalamukha,,BELAGAVI,NIPPANI,Budulmukh,Inhabitant,BELAGAVI,SHIRAGUPPI,Budulmukh
597140,Belgaum District,NIPPANI,Nippani,Shendura,,BELAGAVI,NIPPANI,Shendur,Inhabitant,BELAGAVI,SHENDUR,Shendur
597141,Belgaum District,NIPPANI,Nippani,Gondhikoppa,,BELAGAVI,NIPPANI,Gondikuppi,Inhabitant,BELAGAVI,SHENDUR,Gondikuppi
597142,Belgaum District,NIPPANI,Nippani,Yaranala,,BELAGAVI,NIPPANI,Yarnal,Inhabitant,BELAGAVI,YARNAL,Yarnal
597143,Belgaum District,NIPPANI,Nippani,Nippani,ULB,BELAGAVI,NIPPANI,Nippani (Rural),Inhabitant,,,
597144,Belgaum District,NIPPANI,Nippani,Amalajhari(H)(NRV Village came in notification),,BELAGAVI,NIPPANI,Amalzari,Inhabitant,,,
597145,Belgaum District,NIPPANI,Nippani,Gavhana,,BELAGAVI,NIPPANI,Gavan,Inhabitant,BELAGAVI,YARNAL,Gavan
597146,Belgaum District,NIPPANI,Nippani,Thavadhi,,BELAGAVI,NIPPANI,Tavadi,Inhabitant,BELAGAVI,YARNAL,Tavadi
597147,Belgaum District,NIPPANI,Nippani,Manikapura ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Manakapur,Inhabitant,BELAGAVI,MANAKAPUR,Manakapur
597148,Belgaum District,NIPPANI,Nippani,Kusanala ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Kasanal,Inhabitant,BELAGAVI,MANAKAPUR,Kasanal
597149,Belgaum District,NIPPANI,Nippani,Donewadi(H),,BELAGAVI,NIPPANI,Donewadi,Inhabitant,BELAGAVI,DONIWADI,Donewadi
597150,Belgaum District,NIPPANI,Nippani,Boragaov(TMC) ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Boragaon,Inhabitant,,,
597151,Belgaum District,NIPPANI,Nippani,Boregoavwadi(H),,BELAGAVI,NIPPANI,Boragaonwadi,Inhabitant,BELAGAVI,DONIWADI,Boragaonwadi
597152,Belgaum District,Chikkodi,Sadhalaga,Sadhalaga,ULB,BELAGAVI,Chikodi,Sadalaga (Rural),Un-Inhabitant,BELAGAVI,MALIKAWAD,Sadalaga (Rural)
597153,Belgaum District,Chikkodi,Sadhalaga,Janawada,,BELAGAVI,Chikodi,Janwad,Inhabitant,BELAGAVI,JANWAD,Janwad
597154,Belgaum District,NIPPANI,Nippani,Shiradhawada ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Shiradwad,Inhabitant,BELAGAVI,SHIRADAWAD,Shiradwad
597155,Belgaum District,NIPPANI,Nippani,Karadhaga ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Karadaga,Inhabitant,BELAGAVI,KARDAGA,Karadaga
597156,Belgaum District,NIPPANI,Nippani,Barawada ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Barwad,Inhabitant,BELAGAVI,BARWAD,Barwad
597157,Belgaum District,NIPPANI,Nippani,Mangoora ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Mangur,Inhabitant,BELAGAVI,MANGUR,Mangur
597158,Belgaum District,NIPPANI,Nippani,Kunnura ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Kunnur,Inhabitant,BELAGAVI,KUNNUR,Kunnur
597159,Belgaum District,NIPPANI,Nippani,Gajabarawadi(H),,BELAGAVI,NIPPANI,Gajabarwadi,Inhabitant,BELAGAVI,KUNNUR,Gajabarwadi
597160,Belgaum District,NIPPANI,Nippani,Shivapurawadi(H),,BELAGAVI,NIPPANI,Shivapurawadi,Inhabitant,BELAGAVI,KUNNUR,Shivapurawadi
597161,Belgaum District,NIPPANI,Nippani,Bhoja ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Bhoj,Inhabitant,BELAGAVI,BHOJ,Bhoj
597162,Belgaum District,NIPPANI,Nippani,Hunnaragi ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Hunnaragi,Inhabitant,BELAGAVI,HUNNARAGI,Hunnaragi
597163,Belgaum District,NIPPANI,Nippani,Sidanala ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Sidnal,Inhabitant,BELAGAVI,SIDNAL,Sidnal
597164,Belgaum District,NIPPANI,Nippani,Mamadhapura K.V ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Mamadapur (KL),Inhabitant,BELAGAVI,MAMADAPUR,Mamadapur (KL)
597165,Belgaum District,NIPPANI,Nippani,Bhimapurawadi(H),,BELAGAVI,NIPPANI,Bhimapurwadi,Inhabitant,BELAGAVI,GALATAGA,Bhimapurwadi
597166,Belgaum District,NIPPANI,Nippani,Galathaga ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Galatga,Inhabitant,BELAGAVI,GALATAGA,Galatga
597167,Belgaum District,NIPPANI,Nippani,Dilalpurwadi(H) ,,BELAGAVI,NIPPANI,Dilalapurwadi,Inhabitant,BELAGAVI,GALATAGA,Dilalapurwadi
597168,Belgaum District,NIPPANI,Nippani,Bedakihala ( in Bhoomi Sadalaga Hobli),,BELAGAVI,NIPPANI,Bedkihal,Inhabitant,BELAGAVI,BEDKIHAL,Bedkihal
597169,Belgaum District,Chikkodi,Sadhalaga,Shamanewadi,,BELAGAVI,Chikodi,Shamanewadi,Inhabitant,BELAGAVI,SHAMANEWADI,Shamanewadi
597170,Belgaum District,Chikkodi,Sadhalaga,Neja,,BELAGAVI,Chikodi,Nej,Inhabitant,BELAGAVI,NEJ,Nej
597171,Belgaum District,Chikkodi,Sadhalaga,Nagarala,,BELAGAVI,Chikodi,Nagaral,Inhabitant,BELAGAVI,NAGARAL,Nagaral
597172,Belgaum District,Chikkodi,Sadhalaga,Nanadhiwadi,,BELAGAVI,Chikodi,Nanadiwadi,Inhabitant,BELAGAVI,NANADI,Nanadiwadi
597173,Belgaum District,Chikkodi,Sadhalaga,Nanadhi,,BELAGAVI,Chikodi,Nanadi,Inhabitant,BELAGAVI,NANADI,Nanadi
597174,Belgaum District,Chikkodi,Sadhalaga,Malikawada,,BELAGAVI,Chikodi,Malikwad,Inhabitant,BELAGAVI,MALIKAWAD,Malikwad
597175,Belgaum District,Chikkodi,Sadhalaga,Yaksamba,,BELAGAVI,Chikodi,Examba,Inhabitant,,,
597176,Belgaum District,Chikkodi,Sadhalaga,Kallola,,BELAGAVI,Chikodi,Kallol,Inhabitant,BELAGAVI,KALLOL,Kallol
597177,Belgaum District,Chikkodi,Sadhalaga,Udhyanawadi,,BELAGAVI,Chikodi,Yadyanawadi,Inhabitant,,,
597178,Belgaum District,Chikkodi,Chikkodi Kasaba,Yadurwadi (Hosayadur),,BELAGAVI,Chikodi,Yadurwadi,Inhabitant,BELAGAVI,YADOOR,Yadurwadi
597179,Belgaum District,Chikkodi,Chikkodi Kasaba,Chandura,,BELAGAVI,Chikodi,Chandur,Inhabitant,BELAGAVI,CHANDUR,Chandur
597180,Belgaum District,Chikkodi,Chikkodi Kasaba,Chandurtek,,BELAGAVI,Chikodi,Chandur - Tek,Inhabitant,BELAGAVI,CHANDUR,Chandur - Tek
597181,Belgaum District,Chikkodi,Chikkodi Kasaba,Yadura,,BELAGAVI,Chikodi,Yadur,Inhabitant,BELAGAVI,YADOOR,Yadur
597182,Belgaum District,Chikkodi,Chikkodi Kasaba,Hosayadur,,BELAGAVI,Chikodi,Hosa Yedur,Inhabitant,BELAGAVI,YADOOR,Hosa Yedur
597183,Belgaum District,Chikkodi,Chikkodi Kasaba,Ingali,,BELAGAVI,Chikodi,Ingali,Inhabitant,BELAGAVI,INGALI,Ingali
597184,Belgaum District,Chikkodi,Chikkodi Kasaba,Manjari,,BELAGAVI,Chikodi,Manjari,Inhabitant,BELAGAVI,MANJARI,Manjari
597185,,,,,,BELAGAVI,Chikodi,Manjariwadi,Inhabitant,BELAGAVI,MANJARI,Manjariwadi
597186,Belgaum District,Chikkodi,Chikkodi Kasaba,Ankali,,BELAGAVI,Chikodi,Ankali,Inhabitant,BELAGAVI,ANKALI,Ankali
597187,Belgaum District,Chikkodi,Chikkodi Kasaba,Siddhapurawadi,,BELAGAVI,Chikodi,Shiddapurwadi,Inhabitant,BELAGAVI,ANKALI,Shiddapurwadi
597188,Belgaum District,Chikkodi,Chikkodi Kasaba,Kadapura,,BELAGAVI,Chikodi,Kadapur,Inhabitant,BELAGAVI,KADAPUR,Kadapur
597189,Belgaum District,Chikkodi,Chikkodi Kasaba,Jodakurali,,BELAGAVI,Chikodi,Jodakurli,Inhabitant,BELAGAVI,JODAKURALI,Jodakurli
597190,Belgaum District,Chikkodi,Chikkodi Kasaba,Kerura,,BELAGAVI,Chikodi,Kerur,Inhabitant,BELAGAVI,KERUR,Kerur
597191,Belgaum District,Chikkodi,Chikkodi Kasaba,Rupinala,,BELAGAVI,Chikodi,Roopanal,Inhabitant,BELAGAVI,KERUR,Roopanal
597192,Belgaum District,Chikkodi,Chikkodi Kasaba,Hirekodi,,BELAGAVI,Chikodi,Hirekudi,Inhabitant,BELAGAVI,HIREKODI,Hirekudi
597193,Belgaum District,Chikkodi,Chikkodi Kasaba,Chikkodi,ULB,BELAGAVI,Chikodi,Chikodi (Rural),Inhabitant,BELAGAVI,CHINCHANI,Chikodi (Rural)
597194,Belgaum District,Chikkodi,Chikkodi Kasaba,Kuppanawadi (Handyanawadi),,BELAGAVI,Chikodi,Kuppanawadi,Inhabitant,BELAGAVI,CHINCHANI,Kuppanawadi
597195,Belgaum District,Chikkodi,Chikkodi Kasaba,Giragaov,,BELAGAVI,Chikodi,Girgaon,Inhabitant,BELAGAVI,SHIRAGOAN,Girgaon
597196,Belgaum District,Chikkodi,Chikkodi Kasaba,Shiragaov,,BELAGAVI,Chikodi,Shirgaon,Inhabitant,BELAGAVI,SHIRAGOAN,Shirgaon
597197,Belgaum District,Chikkodi,Chikkodi Kasaba,Shirgoavwadi,,BELAGAVI,Chikodi,Shiragaonwadi,Inhabitant,BELAGAVI,SHIRAGOAN,Shiragaonwadi
597198,Belgaum District,Chikkodi,Chikkodi Kasaba,Khadakalata,,BELAGAVI,Chikodi,Khadaklat,Inhabitant,BELAGAVI,KHADAKLAT,Khadaklat
597199,Belgaum District,Chikkodi,Chikkodi Kasaba,Thapkirwadi,,BELAGAVI,Chikodi,Thapakarwadi,Inhabitant,BELAGAVI,KHADAKLAT,Thapakarwadi
597200,Belgaum District,Chikkodi,Chikkodi Kasaba,Pangeri.A,,BELAGAVI,Chikodi,Pangire (A),Inhabitant,BELAGAVI,CHIKKALAWAL,Pangire (A)
597201,Belgaum District,Chikkodi,Chikkodi Kasaba,Ramapura,,BELAGAVI,Chikodi,Rampur,Inhabitant,BELAGAVI,CHIKKALAWAL,Rampur
597202,Belgaum District,Chikkodi,Chikkodi Kasaba,Chikkalavala,,BELAGAVI,Chikodi,Chikalwal,Inhabitant,BELAGAVI,CHIKKALAWAL,Chikalwal
597203,Belgaum District,Chikkodi,Chikkodi Kasaba,Munachiwadi (Thapkirwadi),,BELAGAVI,Chikodi,Manuchiwadi,Inhabitant,BELAGAVI,KHADAKLAT,Manuchiwadi
597204,Belgaum District,Chikkodi,Chikkodi Kasaba,Sankanawadi,,BELAGAVI,Chikodi,Sankanwadi,Inhabitant,BELAGAVI,NAVALIHAL,Sankanwadi
597205,Belgaum District,Chikkodi,Chikkodi Kasaba,Navalihala,,BELAGAVI,Chikodi,Navalihal,Inhabitant,BELAGAVI,NAVALIHAL,Navalihal
597206,Belgaum District,Chikkodi,Chikkodi Kasaba,Perawadi,,BELAGAVI,Chikodi,Peerawadi,Inhabitant,BELAGAVI,KHADAKLAT,Peerawadi
597207,Belgaum District,Chikkodi,Chikkodi Kasaba,Pattanakudi,,BELAGAVI,Chikodi,Pattankudi,Inhabitant,BELAGAVI,PATTANKUDI,Pattankudi
597208,Belgaum District,Chikkodi,Chikkodi Kasaba,Valaki,,BELAGAVI,Chikodi,Walki,Inhabitant,BELAGAVI,WALAKI,Walki
597209,Belgaum District,Chikkodi,Chikkodi Kasaba,Yadhyanawadi,,BELAGAVI,Chikodi,Yadyanawadi,Inhabitant,BELAGAVI,NAINGLAJ,Yadyanawadi
597210,Belgaum District,Chikkodi,Chikkodi Kasaba,Nayinglaja,,BELAGAVI,Chikodi,Nainglaj,Inhabitant,BELAGAVI,NAINGLAJ,Nainglaj
597211,Belgaum District,Chikkodi,Chikkodi Kasaba,Dhulaganawadi,,BELAGAVI,Chikodi,Dhulaganawadi,Inhabitant,BELAGAVI,NAINGLAJ,Dhulaganawadi
597212,Belgaum District,Chikkodi,Chikkodi Kasaba,Kutali,,BELAGAVI,Chikodi,Kuthali,Inhabitant,BELAGAVI,NAVALIHAL,Kuthali
597213,Belgaum District,Chikkodi,Chikkodi Kasaba,Kothali,,BELAGAVI,Chikodi,Kothali,Inhabitant,BELAGAVI,KOTHALI,Kothali
597214,Belgaum District,Chikkodi,Chikkodi Kasaba,Chinchani,,BELAGAVI,Chikodi,Chinchani,Inhabitant,BELAGAVI,CHINCHANI,Chinchani
597215,Belgaum District,Chikkodi,Chikkodi Kasaba,Handyanawadi,,BELAGAVI,Chikodi,Handyanwadi,Inhabitant,BELAGAVI,CHINCHANI,Handyanwadi
597216,Belgaum District,Chikkodi,Nagaramunnoli,Umarani,,BELAGAVI,Chikodi,Umrani,Inhabitant,BELAGAVI,UMARANI,Umrani
597217,Belgaum District,Chikkodi,Nagaramunnoli,Itnala,,BELAGAVI,Chikodi,Itnal,Inhabitant,BELAGAVI,UMARANI,Itnal
597218,Belgaum District,Chikkodi,Nagaramunnoli,Nagaramunnoli,,BELAGAVI,Chikodi,Nagaramunnoli,Inhabitant,BELAGAVI,NAGARMUNOLI,Nagaramunnoli
597219,Belgaum District,Chikkodi,Nagaramunnoli,Belakuda,,BELAGAVI,Chikodi,Belkud,Inhabitant,BELAGAVI,BELAKUD,Belkud
597220,Belgaum District,Chikkodi,Nagaramunnoli,Bambalawada,,BELAGAVI,Chikodi,Bambalwad,Inhabitant,BELAGAVI,BAMBALAWAD,Bambalwad
597221,Belgaum District,Chikkodi,Nagaramunnoli,Kamatolli ( In census  & Bhoomi Kungatolli),,BELAGAVI,Chikodi,Kungatolli,Inhabitant,BELAGAVI,BAMBALAWAD,Kungatolli
597222,Belgaum District,Chikkodi,Nagaramunnoli,Karoshi,,BELAGAVI,Chikodi,Karoshi,Inhabitant,BELAGAVI,KAROSHI,Karoshi
597223,Belgaum District,Chikkodi,Nagaramunnoli,Jainapura,,BELAGAVI,Chikodi,Jainapur,Inhabitant,BELAGAVI,JAINAPUR,Jainapur
597224,Belgaum District,Chikkodi,Nagaramunnoli,Thoranahalli,,BELAGAVI,Chikodi,Toranahalli,Inhabitant,BELAGAVI,JAINAPUR,Toranahalli
597225,Belgaum District,Chikkodi,Nagaramunnoli,Bidaralli,,BELAGAVI,Chikodi,Bidrahalli,Inhabitant,BELAGAVI,HATTARAWAT,Bidrahalli
597226,Belgaum District,Chikkodi,Nagaramunnoli,Hattharavata,,BELAGAVI,Chikodi,Hattarwat,Inhabitant,BELAGAVI,HATTARAWAT,Hattarwat
597227,Belgaum District,Chikkodi,Nagaramunnoli,Manganura,,BELAGAVI,Chikodi,Mangnur,Inhabitant,BELAGAVI,HATTARAWAT,Mangnur
597228,Belgaum District,Chikkodi,Nagaramunnoli,Vadrala,,BELAGAVI,Chikodi,Wadral,Inhabitant,BELAGAVI,VADRAL,Wadral
597229,Belgaum District,Chikkodi,Nagaramunnoli,Majalatti,,BELAGAVI,Chikodi,Majalatti,Inhabitant,BELAGAVI,VADRAL,Majalatti
597230,Belgaum District,Chikkodi,Nagaramunnoli,Khajagowdanahatti,,BELAGAVI,Chikodi,Khajagoudanhatti,Inhabitant,BELAGAVI,VADRAL,Khajagoudanhatti
597231,Belgaum District,Chikkodi,Nagaramunnoli,Mugali,,BELAGAVI,Chikodi,Mugali,Inhabitant,BELAGAVI,MUGALI,Mugali
597232,Belgaum District,Chikkodi,Nagaramunnoli,Kamathyanahatti,,BELAGAVI,Chikodi,Kamatyanahatti,Inhabitant,BELAGAVI,MUGALI,Kamatyanahatti 
597233,Belgaum District,Chikkodi,Nagaramunnoli,Bennihalli,,BELAGAVI,Chikodi,Bennihalli,Inhabitant,BELAGAVI,BAMBALAWAD,Bennihalli
597234,Belgaum District,Chikkodi,Nagaramunnoli,Karagaov,,BELAGAVI,Chikodi,Karagaon,Inhabitant,BELAGAVI,KARAGAON,Karagaon
597235,Belgaum District,Chikkodi,Nagaramunnoli,Donawada,,BELAGAVI,Chikodi,Donawad,Inhabitant,BELAGAVI,KARAGAON,Donawad
597236,Belgaum District,Chikkodi,Nagaramunnoli,Hanchinala .K.K,,BELAGAVI,Chikodi,Hanchinal (K.K.),Inhabitant,BELAGAVI,KARAGAON,Hanchinal (K.K.)
597237,Belgaum District,Chikkodi,Nagaramunnoli,Belagali,,BELAGAVI,Chikodi,Belagali,Inhabitant,BELAGAVI,NAGARMUNOLI,Belagali
597238,Belgaum District,Chikkodi,Nagaramunnoli,Kenchanahatti,,BELAGAVI,Chikodi,Kenchanatti,Inhabitant,,,
597239,Belgaum District,Chikkodi,Nagaramunnoli,Meerapurahatti,,BELAGAVI,Chikodi,Meerapurhatti,Inhabitant,,,
597240,Belgaum District,Chikkodi,Nagaramunnoli,Kabbura,,BELAGAVI,Chikodi,Kabbur,Inhabitant,,,
597241,Belgaum District,Chikkodi,Nagaramunnoli,Jodatti,,BELAGAVI,Chikodi,Jodatti,Inhabitant,,,
597242,Belgaum District,Chikkodi,Nagaramunnoli,Vijayanagara,,BELAGAVI,Chikodi,Vijayanagar,Inhabitant,BELAGAVI,JAGNUR,Vijayanagar
597243,Belgaum District,Chikkodi,Nagaramunnoli,Pogathyanatti,,BELAGAVI,Chikodi,Pogatyanatti,Inhabitant,BELAGAVI,JAGNUR,Pogatyanatti
597244,Belgaum District,Chikkodi,Nagaramunnoli,Jaganura,,BELAGAVI,Chikodi,Jaganur,Inhabitant,BELAGAVI,JAGNUR,Jaganur
597245,Belgaum District,Chikkodi,Nagaramunnoli,Mamadhapura K.K,,BELAGAVI,Chikodi,Mamadapur (Kk),Inhabitant,BELAGAVI,JAGNUR,Mamadapur (Kk)
597246,Belgaum District,Athani,Ananthapura,Pandegaov,,BELAGAVI,Athni,Pandegaon,Inhabitant,BELAGAVI,SHIRUR,Pandegaon
597247,Belgaum District,Athani,Ananthapura,Khilegaov,,BELAGAVI,Athni,Khilegaon,Inhabitant,BELAGAVI,KHELEGAON,Khilegaon
597248,Belgaum District,Athani,Ananthapura,Ajura,,BELAGAVI,Athni,Ajur,Inhabitant,BELAGAVI,KHELEGAON,Ajur
597249,Belgaum District,Athani,Ananthapura,Ananthapura,,BELAGAVI,Athni,Anantapur,Inhabitant,BELAGAVI,ANANTHPUR,Anantapur
597250,Belgaum District,Athani,Ananthapura,Malabadha,,BELAGAVI,Athni,Malabad,Inhabitant,BELAGAVI,MALABAD,Malabad
597251,Belgaum District,Athani,Ananthapura,Bevanura,,BELAGAVI,Athni,Bevanoor,Inhabitant,BELAGAVI,MALABAD,Bevanoor
597252,Belgaum District,Athani,Ananthapura,Thavasi,,BELAGAVI,Athni,Tawashi,Inhabitant,BELAGAVI,SAMBARAGI,Tawashi
597253,Belgaum District,Athani,Ananthapura,Naganura.P.A,,BELAGAVI,Athni,Naganur P.A.,Inhabitant,BELAGAVI,SAMBARAGI,Naganur P.A.
597254,Belgaum District,Athani,Ananthapura,Shirura,,BELAGAVI,Athni,Shirur,Inhabitant,BELAGAVI,SHIRUR,Shirur
597255,Belgaum District,Athani,Ananthapura,Sambaragi,,BELAGAVI,Athni,Sambaragi,Inhabitant,BELAGAVI,SAMBARAGI,Sambaragi
597256,Belgaum District,Athani,Ananthapura,Aralikatte,,BELAGAVI,Athni,Aralihatti,Inhabitant,BELAGAVI,ARALIHATTI,Aralihatti
597257,Belgaum District,Athani,Ananthapura,Bammanala,,BELAGAVI,Athni,Bammanal,Inhabitant,BELAGAVI,ARALIHATTI,Bammanal
597258,Belgaum District,Athani,Ananthapura,Vishnuwadi,,BELAGAVI,Athni,Vishnuvadi,Inhabitant,BELAGAVI,JAKKARATTI,Vishnuvadi
597259,Belgaum District,Athani,Ananthapura,Jakkaratti,,BELAGAVI,Athni,Jakkaratti,Inhabitant,BELAGAVI,JAKKARATTI,Jakkaratti
597260,Belgaum District,Athani,Ananthapura,Jambagi,,BELAGAVI,Athni,Jambagi,Inhabitant,BELAGAVI,JAMBAGI,Jambagi
597261,Belgaum District,Athani,Ananthapura,Kallotthi,,BELAGAVI,Athni,Kallotti,Inhabitant,BELAGAVI,JAMBAGI,Kallotti
597262,Belgaum District,Athani,Ananthapura,Kiranagi,,BELAGAVI,Athni,Kiranagi,Inhabitant,BELAGAVI,GUNDEWADI,Kiranagi
597263,Belgaum District,Athani,Ananthapura,Baligeri,,BELAGAVI,Athni,Balligeri,Inhabitant,BELAGAVI,BALLIGERI,Balligeri
597264,Belgaum District,Athani,Ananthapura,Gundewadi,,BELAGAVI,Athni,Gundewadi,Inhabitant,BELAGAVI,GUNDEWADI,Gundewadi
597265,Belgaum District,Athani,Ananthapura,Shivanura,,BELAGAVI,Athni,Shivanoor,Inhabitant,BELAGAVI,JAMBAGI,Shivanoor
597266,Belgaum District,Athani,Ananthapura,Madhabamvi,,BELAGAVI,Athni,Madabhavi,Inhabitant,BELAGAVI,MADHABHAVI,Madabhavi
597267,Belgaum District,Athani,Ananthapura,Tevaratti,,BELAGAVI,Athni,Tevaratti,Inhabitant,BELAGAVI,MADHABHAVI,Tevaratti
597268,Belgaum District,Athani,Ananthapura,Siddhewadi,,BELAGAVI,Athni,Siddewadi,Inhabitant,BELAGAVI,SIDDEWADI,Siddewadi
597269,Belgaum District,Athani,Ananthapura,Hanamapura,,BELAGAVI,Athni,Hanamapur,Inhabitant,BELAGAVI,JAMBAGI,Hanamapur
597270,Belgaum District,Athani,Ananthapura,A.Ingalagaov,,BELAGAVI,Athni,Agrani-Ingalgaon,Inhabitant,BELAGAVI,PARTHANAHALLI,Agrani-Ingalgaon
597271,Belgaum District,Athani,Ananthapura,Abbihala,,BELAGAVI,Athni,Abbihal,Inhabitant,BELAGAVI,PARTHANAHALLI,Abbihal
597272,Belgaum District,Athani,Ananthapura,Parthanahalli,,BELAGAVI,Athni,Parthanahalli,Inhabitant,BELAGAVI,PARTHANAHALLI,Parthanahalli
597273,Belgaum District,Athani,Ananthapura,Mavinatti,,BELAGAVI,Athni,Mavinahatti,Inhabitant,BELAGAVI,PARTHANAHALLI,Mavinahatti
597274,Belgaum District,Athani,Ananthapura,Chamakeri,,BELAGAVI,Athni,Chamakeri,Inhabitant,BELAGAVI,CHAMKERI,Chamakeri
597275,Belgaum District,Athani,Ananthapura,Bedaratti,,BELAGAVI,Athni,Bedarahatti,Inhabitant,BELAGAVI,CHAMKERI,Bedarahatti
597276,Belgaum District,KAGAVAD,Kagawada,Kagawada,,BELAGAVI,KAGWAD,Kagawad,Inhabitant,BELAGAVI,KAGAWAD,Kagawad
597277,Belgaum District,KAGAVAD,Kagawada,Mangavathi,,BELAGAVI,KAGWAD,Mangavati,Inhabitant,BELAGAVI,JUGUL,Mangavati
